Good;Positive
,Okay on first try. Must go further before awarding 5th star;Negative
,Great;Positive
,My kids likes dis verymuch;Positive
,Good app;Positive
,Interesting educational app.;Positive
,Nice for my kid and he like so much;Positive
,Too many ads. Ad after every activity;Negative
,good;Positive
,good for kids! Recommended;Positive
,I have to buy the full version if I want all the games right to start with my daughter could play them all. Now they all locked up but three of the games. Very disappointing!!! Not everybody can afford to always have to buy the full version of the game. Would not recommend this to anybody.;Negative
,FunnFood123;Neutral
,I. Like. This game.;Positive
,My kid love very much this games. And i did purchased for No Ads, so that they can play freely;Positive
,Good for baby;Neutral
,Khhhhjj kkkkkkmmlmnnnmmn. ...jjb nm......... . . ......I want games I want to play let them I want to do something and play while I can do you know help the talk to you anymorety y;Negative
,Hey guys are going.;Neutral
,App is Very good. But Advertisements more. Kids will Face difficulty. Needs continuous parental supervision. Otherwise kids clicking Ads by mistake. Very difficult to Manage;Positive
,Great;Positive
,Terbaik;Neutral
,Funny. Food. 123! Kids...;Positive
,Very, very, very amazing game;Positive
,Good game for kids to learn & fun;Positive
,Wow what a aap;Positive
,Nice aap for kids;Positive
,The kid love this game;Positive
,Happy;Positive
,I just want teach my son;Neutral
,My kids love it;Positive
,Very good;Positive
,good job;Positive
,Too many ads;Negative
,Awesome stuff;Positive
,A very nice game for kids;Positive
,Awesome;Positive
,This game is very good now just i install this app i love to play verymuch;Positive
,Excellent;Positive
,Very intresting and easy to learn by child thks;Positive
,Good;Positive
,Good game for kids;Positive
,Good game learning game;Positive
,Good;Positive
,It's awesome. My child is enjoying her lessons.;Positive
,Ok good;Positive
,It is a good game but after 3rd level we have to give money. That's the failure.;Negative
,Good. Kid love it;Positive
,soo nice;Positive
,ok good;Neutral
,Nice;Positive
,A fun learning tool;Positive
,It is very useful for childrens;Positive
,I downloaded this from my little sister in kindergarten to help her and it's working thank you for whoever make this game;Positive
,My son Dimitris (3) loved it. Especially on the flights.;Positive
,nice and educational;Positive
,. .nice for kids;Positive
,My Grandbaby loves this app...;Positive
,Very interesting;Positive
,Wow;Neutral
,Too much ads.;Negative
,perfect;Positive
,Very helpful;Positive
,Nice;Positive
,Very good game for small childs;Positive
,Really good for kids. There's lots of ways to learn numbers;Positive
,My daughter likes this;Positive
,My kid LOVES this game. He just turned 2 and this game helps him to catch on quickly.;Positive
,Best educational app. ever;Positive
,Good;Positive
,Great;Positive
,Super;Positive
,Wonderful;Positive
,This app is really very helpful to teach my little superman;Positive
,very fun for my 3 yr old;Positive
,Nice;Positive
,It so nice my brother junior like s to play;Positive
,I like it but it's abc 123 funny food;Positive
,Wonderful game;Positive
,Nice app;Positive
,Great;Positive
,Easy for my child to navigate by himself at 3 and its a great teaching tool, he loves doing the counting puzzles and gets very proud of himself when he gets them right! We love it!;Positive
,nice 4 children;Positive
,Very super;Positive
,great;Positive
,its fun so fun;Positive
,good game for kids;Positive
,good;Positive
,my son loves this game;Positive
,I love this game is good and your friends;Positive
,very nice;Positive
,Hello i download this app and its very useful. And i wanted to ask you if i can use this app in my youtube videos i mean use as a video and monetize it can i do? Or if not what should i;Neutral
do to create video with this app? Please answer me ASAP;Neutral
,love this app helped my daughter learn her number very quickly;Positive
she loved playing the different games and would remind me if we didnt play that day;Positive
,great game;Positive
,very useful;Positive
,fun for granddaughter;Positive
,super;Positive
,good for kids;Positive
,fantastic app for children;Positive
