Good;Positive
,It is a really good game for kids. It is also very educational;Positive
,Amazing start ,perfect for the kids;Positive
,space;Positive
,Good;Positive
,During latter image should come Ex.-A for Apple, so apple image also should come same time Too much add;Positive
,U r good for my child;Positive
,Good for them kids;Neutral
,It's a very great game for kids education. My younger brother studies by this app. Thank you Zodinplex for making this game.;Positive
,It's good;Positive
,Perfect;Positive
,i like;Positive
,Good one;Positive
,Very useful.;Positive
,Good;Positive
,Good;Positive
,Too many ads popping up, bad;Negative
,Fantastic;Positive
,Like it;Positive
,He loves the sounds the colors the ability to go back and forth great for learning definitely.;Positive
,Nice app;Positive
,This is a very good app..It helped my nephew to read at years. Now his 6...Wow..he is really good..;Positive
,Its okay;Negative
,Love son love this learning game.;Positive
,good;Positive
,Great and simple. :);Positive
,Good;Positive
,satisfactory;Positive
,I readlythink that this game is good;Positive
,so amazing tutor for kiddo's;Positive
,it was great;Positive
,amazing;Positive
,wow;Neutral
,I love this game so much;Positive
,I like it;Positive
,Please change Monkey picture.. Its wrong;Negative
,Good;Positive
,Gouthami;Neutral
,amazing;Positive
,very good and easy;Positive
,it is good apps for kids;Positive
,good app for toddlers;Positive
,Good;Positive
,you asked me to rate 4 times sohere ya go... it sucks.. this is the only app ive downloaded recently that my 3 year old is like no... its boring... no music no game no excitement... sorry not sorry.;Negative
,great;Positive
,excellent;Positive
,slide show of images is not a game, 12 slide shows and full of adverts very litte education value other than use as flash cards. I honestly dont see where all the five star reviews come;Negative
from;Neutral
,excellent;Positive
,educational;Positive
,9bj;Neutral
,best app for kindergarten.;Positive
,good;Positive
,It's ok;Neutral
,abc;Neutral
,How can I get rid of the ads? I would pay for it if I knew how to do so.;Negative
,still using it after 5 years.;Positive
,I like it;Positive
,great app for kids!;Positive
,good more adds;Neutral
,nice app;Positive
,alpa bat;Neutral
,good;Positive
,Nice;Positive
,its good,some more video lesson should be add with all subjects till class 6;Positive
,jgh;Neutral
,my girl love this very much;Positive
,good step;Positive
,osm App;Neutral
,very useful;Positive
,good;Positive
,very scanty app;Negative
,nice;Positive
,its excellent apps for your baby;Positive
,my baby loves this app and it's easy to use and navigate.;Positive
,not good advert all over;Negative
,good;Positive
,good;Positive
,so far so good;Positive
,its really a great app;Positive
,it covers the basics;Neutral
,use full app this use 1and 2years baby;Neutral
,so many add;Positive
,it ok;Neutral
,ok and nice;Positive
,ok;Neutral
,its helpful;Positive
,love it;Positive
,Great;Positive
,so beautiful for kids...;Positive
,very good for kids they learned Easley;Positive
,Excellent;Positive
,make the songs to for kids so they can understand the sounds;Positive
,so nice of you sirji so nice of you;Positive
,good;Positive
,good leaning game;Positive
,great app for kids;Positive
,itne adds to me ne 10 years me nhi dekhe jitne me ne 10 seconds me dekh lie ha;Neutral
,excellent;Positive
,my child get annoyed with the Ads so I think I'll uninstalled it. sorry;Negative
